phase,input_pulse,input_sd,output_pulse,output_sd,midpoint_pulse,midpoint_sd,gradient_pulse,gradient_sd
0.2750,2.10815,7.40592,-0.14105,0.80665,0.14581,1.18428,2.67758,7.52190
0.2792,2.24917,7.46787,-0.12994,0.80175,0.15685,1.18066,2.85525,7.51235
0.2833,2.39752,7.49387,-0.11765,0.80122,0.16915,1.17747,3.02861,7.53708
0.2875,2.54770,7.49510,-0.10437,0.80120,0.18251,1.17702,3.19741,7.59001
0.2917,2.69687,7.49802,-0.09036,0.80303,0.19659,1.17353,3.35977,7.61240
0.2958,2.84094,7.48039,-0.07554,0.80100,0.21121,1.16833,3.51969,7.57607
0.3000,2.97771,7.46665,-0.06051,0.80358,0.22603,1.16650,3.67787,7.54830
0.3042,3.10514,7.45091,-0.04599,0.79811,0.24094,1.16900,3.83037,7.49773
0.3083,3.22994,7.44147,-0.03210,0.79727,0.25585,1.17278,3.97499,7.47140
0.3125,3.35501,7.42545,-0.01891,0.79579,0.27105,1.17268,4.10677,7.45569
0.3167,3.48140,7.41874,-0.00648,0.79477,0.28641,1.17637,4.22403,7.49828
0.3208,3.60913,7.40787,0.00542,0.79572,0.30171,1.18013,4.32687,7.55969
0.3250,3.73632,7.41701,0.01652,0.79827,0.31657,1.18528,4.41235,7.65695
0.3292,3.86066,7.48810,0.02676,0.80190,0.33019,1.20161,4.47573,7.73402
0.3333,3.97913,7.55674,0.03623,0.80443,0.34273,1.19350,4.52030,7.81560
0.3375,4.09015,7.67279,0.04492,0.80387,0.35456,1.19316,4.55353,7.91624
0.3417,4.19588,7.79601,0.05323,0.80428,0.36635,1.18958,4.58850,7.99901
0.3458,4.29666,7.91791,0.06170,0.80466,0.37867,1.19057,4.63223,8.04619
0.3500,4.38987,8.04231,0.07053,0.80622,0.39197,1.19666,4.69133,8.07411
0.3542,4.47538,8.08513,0.07979,0.80167,0.40680,1.21261,4.77233,8.07720
0.3583,4.55355,8.10078,0.08996,0.79902,0.42320,1.22713,4.87953,8.08998
