index,time_s,wave[full field],wave[vessels],wave[top-edge],wave[lower-right],motion[full field],motion[vessels],motion[top-edge],motion[lower-right]
315,10.50696,0.065686,0.280071,0.004376,0.052550,0.195647,0.526482,0.051051,0.194609
316,10.54027,0.026524,0.076336,0.004345,0.033014,0.112499,0.347291,0.061476,0.117939
317,10.57357,-0.015107,-0.128820,0.004311,0.008687,0.130784,0.362960,0.043836,0.143451
318,10.60687,-0.051190,-0.301779,0.004271,-0.014671,0.069952,0.102498,0.061063,0.065226
319,10.64018,-0.076181,-0.420330,0.004219,-0.032380,0.095563,0.241675,0.051314,0.091138
320,10.67348,-0.087400,-0.473065,0.004148,-0.041909,0.086748,0.105271,0.059660,0.101929
321,10.70678,-0.084601,-0.456764,0.004051,-0.043011,0.066248,0.100355,0.055257,0.054680
322,10.74008,-0.069344,-0.374696,0.003919,-0.037239,0.076167,0.098391,0.057817,0.090912
323,10.77339,-0.044600,-0.237057,0.003744,-0.027217,0.082957,0.117110,0.064800,0.088891
324,10.80669,-0.014377,-0.061820,0.003516,-0.015715,0.165986,0.667631,0.068889,0.109993
325,10.83999,0.016851,0.126395,0.003229,-0.004775,0.126642,0.407890,0.055834,0.111806
326,10.87329,0.044787,0.299382,0.002877,0.004777,0.249669,1.017657,0.075802,0.166140
327,10.90660,0.065900,0.429521,0.002455,0.013328,0.212374,0.991709,0.072999,0.122865
328,10.93990,0.077701,0.494322,0.001959,0.021728,0.133523,0.627326,0.050857,0.049225
329,10.97320,0.078522,0.479738,0.001390,0.029873,0.288463,1.364715,0.054708,0.130493
330,11.00650,0.067612,0.383826,0.000749,0.035968,0.234314,1.052305,0.072036,0.202400
331,11.03981,0.046053,0.221161,0.000037,0.037554,0.253906,0.923648,0.056477,0.208099
332,11.07311,0.017262,0.021981,-0.000741,0.033194,0.095002,0.241600,0.055550,0.073329
333,11.10641,-0.013947,-0.176846,-0.001580,0.022965,0.109057,0.183916,0.074776,0.127075
334,11.13971,-0.042915,-0.342847,-0.002472,0.007942,0.120333,0.284191,0.092200,0.117478
335,11.17302,-0.065917,-0.453489,-0.003408,-0.010117,0.085721,0.133785,0.067602,0.074231
336,11.20632,-0.080082,-0.495923,-0.004374,-0.028781,0.075603,0.090978,0.052209,0.080197
337,11.23962,-0.083307,-0.465503,-0.005356,-0.045136,0.062250,0.093103,0.047597,0.053568
338,11.27292,-0.074457,-0.365390,-0.006338,-0.056051,0.079852,0.145636,0.055130,0.081330
339,11.30623,-0.053681,-0.206682,-0.007308,-0.058506,0.122604,0.504875,0.059603,0.064763
340,11.33953,-0.022697,-0.008252,-0.008250,-0.050188,0.114620,0.407646,0.062043,0.069202
341,11.37283,0.014941,0.203575,-0.009153,-0.030455,0.177773,0.785198,0.064715,0.067873
342,11.40613,0.053692,0.395849,-0.010004,-0.001400,0.165058,0.740428,0.069967,0.083021
343,11.43944,0.086271,0.531502,-0.010791,0.031655,0.147976,0.569686,0.057388,0.112380
344,11.47274,0.104617,0.575312,-0.011503,0.060716,0.280681,1.576747,0.055917,0.060331
345,11.50604,0.102315,0.506256,-0.012131,0.077162,0.393587,1.529553,0.067274,0.411967
346,11.53935,0.078071,0.331960,-0.012668,0.075521,0.298203,1.024253,0.056832,0.276029
347,11.57265,0.037438,0.091398,-0.013107,0.056694,0.086362,0.216617,0.055970,0.065595
348,11.60595,-0.009404,-0.159729,-0.013444,0.027160,0.084170,0.127330,0.064313,0.087730
349,11.63925,-0.052022,-0.369621,-0.013677,-0.004957,0.092362,0.154701,0.058867,0.100059
350,11.67256,-0.082843,-0.503419,-0.013807,-0.033049,0.065660,0.115818,0.053366,0.057760
351,11.70586,-0.097981,-0.545743,-0.013835,-0.053107,0.088802,0.139944,0.060994,0.098937
352,11.73916,-0.096678,-0.497445,-0.013766,-0.063425,0.080103,0.108563,0.054729,0.087201
353,11.77246,-0.080313,-0.371241,-0.013605,-0.063647,0.075595,0.144972,0.060139,0.068057
354,11.80577,-0.051632,-0.188206,-0.013361,-0.054070,0.120252,0.495262,0.063838,0.051300
355,11.83907,-0.014470,0.024849,-0.013042,-0.035688,0.099036,0.339386,0.049703,0.072929
356,11.87237,0.026211,0.237248,-0.012657,-0.010656,0.188914,0.873550,0.067263,0.084174
357,11.90567,0.064333,0.416301,-0.012218,0.017369,0.157893,0.671461,0.064177,0.089587
358,11.93898,0.093024,0.529755,-0.011733,0.043317,0.141753,0.475996,0.077640,0.129006
359,11.97228,0.105539,0.550261,-0.011211,0.061421,0.323145,1.736026,0.072857,0.108845
360,12.00558,0.097419,0.465432,-0.010658,0.066744,0.303251,1.093561,0.091598,0.264421
361,12.03888,0.069225,0.288820,-0.010078,0.057378,0.270659,0.920678,0.079257,0.231378
362,12.07219,0.027387,0.059312,-0.009468,0.036022,0.081499,0.147379,0.061553,0.070927
363,12.10549,-0.018139,-0.172969,-0.008827,0.009028,0.061227,0.107738,0.053897,0.049092
364,12.13879,-0.057724,-0.363514,-0.008148,-0.016642,0.069232,0.102980,0.053124,0.066214
365,12.17209,-0.084724,-0.483114,-0.007424,-0.035976,0.068789,0.105046,0.051981,0.052137
366,12.20540,-0.096046,-0.518892,-0.006647,-0.046724,0.066053,0.081291,0.054459,0.063232
367,12.23870,-0.091498,-0.471159,-0.005810,-0.048959,0.068741,0.110390,0.062814,0.060246
368,12.27200,-0.072920,-0.350273,-0.004904,-0.044106,0.063781,0.066445,0.077775,0.064457
369,12.30530,-0.043586,-0.175124,-0.003919,-0.033996,0.084734,0.228189,0.054141,0.061833
370,12.33861,-0.007852,0.028043,-0.002843,-0.020303,0.176108,0.748662,0.075024,0.093213
371,12.37191,0.029240,0.228394,-0.001663,-0.004443,0.115476,0.374108,0.056995,0.071981
372,12.40521,0.062281,0.393862,-0.000368,0.012140,0.207024,0.891455,0.055015,0.108165
373,12.43851,0.085805,0.494722,0.001056,0.027585,0.195415,0.904527,0.045374,0.119954
374,12.47182,0.094976,0.509396,0.002619,0.039426,0.189682,1.022312,0.063675,0.061425
375,12.50512,0.086920,0.432011,0.004332,0.044920,0.403220,1.481826,0.055305,0.272647
376,12.53842,0.062517,0.277853,0.006202,0.042251,0.190490,0.570230,0.060350,0.157166
377,12.57173,0.027075,0.080732,0.008233,0.031827,0.107926,0.341184,0.060666,0.098639
378,12.60503,-0.011567,-0.118975,0.010428,0.016151,0.130625,0.315843,0.055297,0.146359
379,12.63833,-0.045946,-0.287043,0.012786,-0.001411,0.063598,0.091165,0.042473,0.061672
380,12.67163,-0.070752,-0.401507,0.015301,-0.017690,0.108551,0.241139,0.058747,0.120785
381,12.70494,-0.083161,-0.452374,0.017964,-0.030214,0.095551,0.154866,0.057162,0.106843
382,12.73824,-0.082371,-0.438163,0.020758,-0.037268,0.066760,0.096706,0.057312,0.060698
383,12.77154,-0.069127,-0.363070,0.023663,-0.037975,0.063105,0.098421,0.052496,0.058034
384,12.80484,-0.045645,-0.236510,0.026655,-0.032579,0.103812,0.254240,0.057038,0.092208
385,12.83815,-0.015490,-0.073443,0.029703,-0.022429,0.142931,0.571085,0.074883,0.082401
386,12.87145,0.016810,0.105784,0.032771,-0.009577,0.107773,0.246630,0.084976,0.082276
387,12.90475,0.046295,0.275921,0.035822,0.003718,0.260388,1.052537,0.069164,0.161845
388,12.93805,0.068357,0.409277,0.038813,0.015576,0.193768,0.824196,0.052393,0.131476
389,12.97136,0.079518,0.480494,0.041699,0.024852,0.127540,0.533616,0.059951,0.077681
390,13.00466,0.077725,0.471416,0.044431,0.030800,0.331752,1.552139,0.073517,0.144894
391,13.03796,0.062887,0.377569,0.046956,0.032656,0.211857,0.974953,0.057842,0.163310
392,13.07126,0.037685,0.214590,0.049219,0.029932,0.193952,0.830535,0.063510,0.160141
393,13.10457,0.007179,0.016124,0.051161,0.022914,0.099554,0.213489,0.053282,0.090882
394,13.13787,-0.022970,-0.177944,0.052723,0.012565,0.093066,0.139988,0.066395,0.118064
395,13.17117,-0.048198,-0.334335,0.053843,0.000125,0.107171,0.229210,0.083161,0.110872
396,13.20447,-0.065652,-0.432632,0.054462,-0.012997,0.078447,0.143986,0.075993,0.076457
397,13.23778,-0.073876,-0.464498,0.054522,-0.025161,0.082423,0.130328,0.062675,0.088912
398,13.27108,-0.072314,-0.430332,0.053969,-0.034548,0.070704,0.120461,0.063806,0.067455
399,13.30438,-0.061069,-0.336613,0.052754,-0.039350,0.085820,0.221112,0.063429,0.058656
400,13.33768,-0.040936,-0.194399,0.050830,-0.038124,0.126406,0.517081,0.061235,0.070893
401,13.37099,-0.013627,-0.018934,0.048158,-0.030233,0.094972,0.298851,0.068191,0.067693
402,13.40429,0.017907,0.169451,0.044703,-0.016153,0.225210,0.929108,0.077697,0.131834
403,13.43759,0.049419,0.344751,0.040438,0.002492,0.171927,0.692003,0.087577,0.102613
404,13.47089,0.075619,0.476343,0.035347,0.022942,0.128029,0.493454,0.059924,0.072285
405,13.50420,0.090649,0.532652,0.029419,0.041175,0.305350,1.641425,0.065212,0.090110
406,13.53750,0.089651,0.491502,0.022659,0.052437,0.332786,1.466182,0.057015,0.304224
407,13.57080,0.071423,0.354186,0.015078,0.053312,0.287247,1.076586,0.058831,0.232827
408,13.60411,0.039735,0.149378,0.006703,0.043766,0.096500,0.306705,0.064287,0.055063
409,13.63741,0.001640,-0.078595,-0.002427,0.026640,0.101279,0.246560,0.067405,0.093309
410,13.67071,-0.035610,-0.286441,-0.012258,0.005407,0.130745,0.375764,0.059665,0.123753
411,13.70401,-0.066397,-0.441566,-0.022716,-0.017025,0.109333,0.242382,0.054028,0.133675
412,13.73732,-0.086847,-0.523391,-0.033714,-0.037959,0.097510,0.229887,0.053356,0.091455
413,13.77062,-0.094422,-0.521841,-0.045144,-0.054422,0.084113,0.150331,0.053625,0.082868
414,13.80392,-0.087816,-0.436838,-0.056880,-0.063292,0.077016,0.119622,0.054156,0.073219
415,13.83722,-0.067254,-0.279274,-0.068779,-0.061944,0.101320,0.315435,0.051074,0.069615
416,13.87053,-0.034950,-0.071729,-0.080679,-0.049107,0.138711,0.523063,0.043909,0.101135
417,13.90383,0.004727,0.153291,-0.092402,-0.025615,0.205518,0.849554,0.046942,0.117429
418,13.93713,0.045594,0.357972,-0.103753,0.005225,0.208462,0.878945,0.058615,0.146162
419,13.97043,0.080349,0.504959,-0.114527,0.037776,0.211704,0.914560,0.079116,0.155192
420,14.00374,0.101459,0.563414,-0.124504,0.064693,0.238141,1.274709,0.071430,0.082316
421,14.03704,0.102822,0.516902,-0.133457,0.078370,0.430744,1.597086,0.080435,0.400259
422,14.07034,0.082451,0.371622,-0.141153,0.073860,0.289174,0.862820,0.105232,0.253395
423,14.10364,0.044319,0.157138,-0.147357,0.051824,0.154264,0.419622,0.081874,0.164136
424,14.13695,-0.002725,-0.083241,-0.151838,0.018596,0.177107,0.704557,0.085335,0.142387
425,14.17025,-0.048003,-0.304234,-0.154376,-0.016592,0.071589,0.129253,0.060159,0.058025
426,14.20355,-0.081858,-0.466680,-0.154766,-0.044958,0.076061,0.124139,0.061839,0.064851
427,14.23685,-0.097560,-0.543183,-0.152832,-0.060577,0.069076,0.094595,0.050054,0.070061
428,14.27016,-0.092164,-0.521292,-0.148429,-0.061300,0.074695,0.136125,0.054301,0.056956
429,14.30346,-0.066521,-0.404008,-0.141452,-0.048355,0.084895,0.103445,0.056789,0.098780
430,14.33676,-0.024924,-0.209374,-0.131847,-0.025297,0.124018,0.367123,0.059293,0.107689
431,14.37006,0.025329,0.030689,-0.119607,0.003060,0.125103,0.471136,0.052713,0.074019
432,14.40337,0.074493,0.273277,-0.104788,0.031192,0.154522,0.504590,0.059153,0.103106
433,14.43667,0.111403,0.469702,-0.087504,0.053131,0.229295,0.939555,0.060530,0.158541
434,14.46997,0.125478,0.574530,-0.067935,0.063239,0.233337,1.108442,0.064960,0.142747
435,14.50327,0.109515,0.558095,-0.046324,0.057419,0.202222,1.082643,0.057818,0.072516
436,14.53658,0.062568,0.418031,-0.022981,0.034431,0.424253,1.501287,0.056478,0.335398
437,14.56988,-0.007711,0.184445,0.001722,-0.002374,0.218861,0.597477,0.057698,0.202360
438,14.60318,-0.085159,-0.086567,0.027352,-0.044106,0.104335,0.236555,0.045582,0.102965
439,14.63649,-0.149390,-0.331055,0.053424,-0.078473,0.109224,0.268438,0.051559,0.100885
440,14.66979,-0.182478,-0.496826,0.079405,-0.094423,0.074598,0.129285,0.058983,0.064053
441,14.70309,-0.174765,-0.555278,0.104725,-0.086501,0.067632,0.111511,0.052949,0.067645
442,14.73639,-0.127760,-0.504397,0.128790,-0.056885,0.389046,0.478340,0.489294,0.309920
443,14.76970,-0.053012,-0.364466,0.151008,-0.014111,0.346227,0.414160,0.432066,0.263908
444,14.80300,0.031871,-0.169731,0.170813,0.030390,0.307436,0.519139,0.322460,0.247289
445,14.83630,0.107459,0.039855,0.187692,0.065649,0.617209,0.855180,0.893905,0.438090
446,14.86960,0.157165,0.226599,0.201207,0.084018,0.769699,1.367905,1.093989,0.439752
447,14.90291,0.172443,0.362820,0.211029,0.083459,0.616049,0.881454,0.950324,0.383783
448,14.93621,0.155277,0.434515,0.216963,0.067754,0.701005,1.455716,0.866855,0.407268
449,14.96951,0.115748,0.439773,0.218946,0.044161,0.311686,0.995888,0.235354,0.207047
450,15.00281,0.066396,0.385075,0.217032,0.019831,0.539008,1.168257,0.665817,0.297785
451,15.03612,0.017507,0.282463,0.211368,-0.000763,0.649622,1.498622,0.598136,0.427369
452,15.06942,-0.023827,0.149048,0.202188,-0.015708,0.381648,0.812400,0.436368,0.286189
453,15.10272,-0.053243,0.005635,0.189804,-0.024398,0.204947,0.537914,0.206183,0.149968
454,15.13602,-0.070140,-0.128783,0.174587,-0.027588,0.232381,0.475109,0.280734,0.167815
455,15.16933,-0.078015,-0.241818,0.156944,-0.027805,0.392934,0.526311,0.518209,0.264635
456,15.20263,-0.081659,-0.326789,0.137314,-0.028141,0.253514,0.385182,0.306016,0.198641
457,15.23593,-0.083587,-0.378841,0.116158,-0.030346,0.123459,0.152126,0.148638,0.104854
458,15.26923,-0.083112,-0.392849,0.093946,-0.034199,0.142375,0.197137,0.175839,0.128910
459,15.30254,-0.077635,-0.363791,0.071138,-0.038018,0.199535,0.321669,0.322397,0.159805
460,15.33584,-0.064035,-0.288137,0.048174,-0.039146,0.135683,0.193529,0.192392,0.122186
461,15.36914,-0.039966,-0.166212,0.025472,-0.034566,0.160558,0.595893,0.088860,0.091728
462,15.40244,-0.005467,-0.005406,0.003415,-0.022196,0.154628,0.380357,0.156890,0.082933
463,15.43575,0.035896,0.177071,-0.017653,-0.002272,0.259882,0.855978,0.209780,0.150807
464,15.46905,0.077298,0.353588,-0.037437,0.022278,0.247455,0.753423,0.221496,0.172133
465,15.50235,0.110103,0.488618,-0.055681,0.046598,0.205267,0.551941,0.137859,0.135683
466,15.53565,0.125840,0.545275,-0.072175,0.065043,0.382100,1.658789,0.177396,0.156193
467,15.56896,0.118929,0.498392,-0.086753,0.072542,0.403815,1.488474,0.164275,0.324623
468,15.60226,0.089599,0.349716,-0.099293,0.066635,0.318463,1.063165,0.113007,0.249962
469,15.63556,0.044554,0.131425,-0.109717,0.048893,0.123986,0.340236,0.097741,0.093048
470,15.66887,-0.005904,-0.106939,-0.117991,0.023859,0.121112,0.204834,0.102131,0.114559
471,15.70217,-0.052009,-0.317285,-0.124122,-0.003530,0.156723,0.246196,0.124005,0.137754
472,15.73547,-0.086900,-0.465033,-0.128155,-0.029458,0.110087,0.206279,0.060863,0.113174
473,15.76877,-0.106828,-0.531680,-0.130169,-0.051251,0.085171,0.161442,0.080948,0.059873
474,15.80208,-0.110536,-0.512349,-0.130272,-0.066925,0.106405,0.144029,0.089136,0.114368
475,15.83538,-0.098507,-0.412858,-0.128600,-0.074659,0.087770,0.110318,0.068403,0.081462
476,15.86868,-0.072394,-0.247878,-0.125308,-0.072426,0.119999,0.457514,0.050926,0.069497
477,15.90198,-0.034962,-0.039878,-0.120570,-0.058431,0.111119,0.298516,0.074975,0.083077
478,15.93529,0.009531,0.181594,-0.114569,-0.032327,0.183856,0.750325,0.075120,0.080447
479,15.96859,0.055007,0.381321,-0.107498,0.003459,0.175477,0.712283,0.099902,0.107396
480,16.00189,0.093688,0.521750,-0.099550,0.043005,0.150256,0.581962,0.058878,0.111687
481,16.03519,0.116915,0.569185,-0.090916,0.077304,0.262259,1.425965,0.086380,0.090593
482,16.06850,0.117477,0.504962,-0.081779,0.096416,0.439003,1.540471,0.110631,0.435928
483,16.10180,0.093308,0.337956,-0.072315,0.093697,0.275481,0.770359,0.096406,0.284692
484,16.13510,0.049631,0.105778,-0.062685,0.069612,0.123035,0.226134,0.082196,0.138406
485,16.16840,-0.002917,-0.139352,-0.053034,0.031501,0.115377,0.298492,0.083939,0.113269
486,16.20171,-0.052503,-0.348350,-0.043495,-0.010244,0.068334,0.093861,0.051610,0.060287
487,16.23501,-0.089567,-0.486059,-0.034185,-0.046175,0.076406,0.098995,0.065650,0.087092
488,16.26831,-0.108446,-0.534600,-0.025206,-0.070070,0.067696,0.098547,0.066161,0.056318
489,16.30161,-0.107533,-0.492192,-0.016648,-0.079434,0.075132,0.124174,0.065092,0.075565
490,16.33492,-0.088567,-0.370115,-0.008587,-0.074810,0.077331,0.097010,0.070012,0.073317
491,16.36822,-0.055707,-0.189807,-0.001085,-0.058652,0.113373,0.422211,0.066033,0.062809
492,16.40152,-0.014676,0.019882,0.005809,-0.034397,0.130563,0.415774,0.074804,0.092171
493,16.43482,0.028042,0.226076,0.012059,-0.005917,0.226480,0.892583,0.104425,0.126622
494,16.46813,0.066008,0.395969,0.017643,0.022791,0.187591,0.725015,0.069326,0.135215
495,16.50143,0.093374,0.500756,0.022552,0.047718,0.183201,0.795127,0.047414,0.126899
496,16.53473,0.105079,0.519333,0.026791,0.064697,0.215536,1.175187,0.069048,0.074113
497,16.56804,0.097682,0.444200,0.030371,0.069645,0.408684,1.457849,0.059063,0.310057
498,16.60134,0.071443,0.288423,0.033315,0.060241,0.265423,0.793995,0.056449,0.243068
499,16.63464,0.031714,0.085124,0.035649,0.038102,0.101049,0.185605,0.054700,0.122326
500,16.66794,-0.012629,-0.124107,0.037406,0.008894,0.133489,0.359360,0.053695,0.123730
501,16.70125,-0.052441,-0.302702,0.038624,-0.019871,0.088898,0.181423,0.049580,0.079964
502,16.73455,-0.080670,-0.425509,0.039340,-0.041454,0.077642,0.179990,0.056339,0.054703
503,16.76785,-0.093315,-0.478999,0.039595,-0.051760,0.071534,0.084267,0.058880,0.073017
504,16.80115,-0.089537,-0.459504,0.039429,-0.050125,0.065541,0.113770,0.054196,0.061582
505,16.83446,-0.071247,-0.371644,0.038883,-0.038940,0.083121,0.100587,0.047759,0.087935
506,16.86776,-0.042408,-0.227792,0.037997,-0.022436,0.102265,0.168076,0.067022,0.105459
507,16.90106,-0.008201,-0.047856,0.036807,-0.005157,0.148679,0.607828,0.057801,0.107054
508,16.93436,0.025788,0.142162,0.035352,0.009287,0.126320,0.372769,0.057033,0.099625
509,16.96767,0.054308,0.313150,0.033665,0.018869,0.259413,1.125309,0.077505,0.158789
510,17.00097,0.073283,0.437470,0.031781,0.023375,0.208078,0.846231,0.071011,0.153217
511,17.03427,0.080445,0.493886,0.029733,0.024130,0.150826,0.718119,0.059867,0.056155
512,17.06757,0.075344,0.470881,0.027552,0.022966,0.318858,1.439930,0.063751,0.156208
513,17.10088,0.059265,0.369973,0.025270,0.021089,0.165869,0.792139,0.068333,0.111878
514,17.13418,0.035218,0.208143,0.022914,0.018731,0.170417,0.788539,0.047271,0.114871
515,17.16748,0.007176,0.014474,0.020515,0.015350,0.118189,0.299079,0.050678,0.100507
516,17.20078,-0.021052,-0.178263,0.018096,0.009998,0.101986,0.204266,0.070900,0.113412
517,17.23409,-0.046409,-0.341513,0.015682,0.001914,0.108096,0.263203,0.077893,0.082420
518,17.26739,-0.066455,-0.454411,0.013297,-0.008844,0.099885,0.148443,0.065321,0.104523
519,17.30069,-0.078909,-0.503373,0.010963,-0.021037,0.072715,0.120726,0.049030,0.062256
520,17.33399,-0.081545,-0.481304,0.008701,-0.032337,0.062178,0.084015,0.058400,0.056117
521,17.36730,-0.072712,-0.388409,0.006532,-0.039899,0.089281,0.177795,0.055244,0.081742
522,17.40060,-0.052065,-0.233522,0.004473,-0.041105,0.143257,0.628790,0.049713,0.063329
523,17.43390,-0.021132,-0.034688,0.002539,-0.034302,0.096711,0.244214,0.061829,0.073133
524,17.46720,0.016307,0.180678,0.000743,-0.019468,0.233680,0.950692,0.082267,0.127036
525,17.50051,0.054327,0.377371,-0.000902,0.001450,0.197243,0.941336,0.055882,0.103317
526,17.53381,0.085563,0.517333,-0.002387,0.024554,0.119688,0.433964,0.057450,0.066337
527,17.56711,0.102298,0.566739,-0.003705,0.044228,0.312884,1.625773,0.072176,0.109606
528,17.60042,0.098708,0.507269,-0.004848,0.054367,0.380439,1.566183,0.057660,0.311269
529,17.63372,0.074265,0.349494,-0.005814,0.051233,0.290973,0.912289,0.081876,0.230353
530,17.66702,0.035373,0.134574,-0.006599,0.035955,0.094048,0.248988,0.069108,0.074212
531,17.70032,-0.007060,-0.081815,-0.007204,0.013976,0.082956,0.111415,0.067022,0.106297
532,17.73363,-0.042282,-0.251232,-0.007630,-0.007850,0.082128,0.135567,0.040049,0.098916
533,17.76693,-0.063283,-0.346256,-0.007882,-0.023888,0.068584,0.107070,0.055520,0.069198
534,17.80023,-0.068054,-0.363055,-0.007969,-0.031152,0.084957,0.173172,0.063845,0.069698
535,17.83353,-0.059084,-0.316477,-0.007902,-0.029769,0.066907,0.082515,0.069656,0.071270
536,17.86684,-0.041861,-0.232221,-0.007697,-0.022454,0.084248,0.143339,0.053775,0.080769
537,17.90014,-0.022903,-0.138564,-0.007370,-0.013193,0.134661,0.532666,0.067887,0.079105
538,17.93344,-0.007733,-0.058547,-0.006942,-0.005686,0.127669,0.340073,0.109685,0.099847
539,17.96674,0.000755,-0.004445,-0.006431,-0.002008,0.233946,0.915288,0.106608,0.134123
540,18.00005,0.003032,0.023846,-0.005857,-0.001884,0.174530,0.765467,0.068526,0.085450
